APPENDIX 1,,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-D,,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,,
1,329.83,87.8,7.1,Evening,,,,,,,
2,362.11,86.6,6.9,Morning,,,,,,,
3,359.08,85.2,6.8,Evening,,,,,,,
4,352.83,87.7,7.2,Night,,,,,,,
5,340.31,87.5,7.1,Evening,,,,,,,
6,368.32,91.3,7.3,Morning,,,,,,,
7,336.6,90,7.3,Night,,,,,,,
8,375.48,87.5,7,Night,,,,,,,
9,333.66,88.9,7.4,Night,,,,,,,
10,348.12,85.3,7,Evening,,,,,,,
11,328.08,89.2,7.3,Morning,,,,,,,
12,343.53,88.5,7.1,Morning,,,,,,,
13,361.21,90.2,7.3,Evening,,,,,,,
14,366.09,91.2,7.5,Morning,,,,,,,
15,350.55,90.8,7.5,Evening,,,,,,,
16,356.36,86,7.1,Night,,,,,,,
17,344.1,88.8,7.3,Evening,,,,,,,
18,350.42,84.2,6.8,Night,,,,,,,
19,340.05,88.5,7.1,Night,,,,,,,
20,347.88,90,7.3,Morning,,,,,,,
21,329.89,88.3,7.2,Evening,,,,,,,
22,361.65,87.6,7,Night,,,,,,,
23,340.25,84.9,7.2,Evening,,,,,,,
24,351.17,89.4,7.3,Night,,,,,,,
25,364.17,90.3,7.3,Night,,,,,,,
26,332.27,84.3,6.9,Night,,,,,,,
27,342.67,89.6,7.3,Evening,,,,,,,
28,342.12,90.4,7.4,Evening,,,,,,,
29,347.94,87.6,7.2,Night,,,,,,,
30,375.56,89.8,7.3,Evening,,,,,,,
31,349.62,87.4,7.1,Morning,,,,,,,
32,346.06,88,7.1,Night,,,,,,,
33,355.58,86.9,7,Night,,,,,,,
34,328.82,84.2,6.8,Evening,,,,,,,
35,345.58,85.5,6.8,Morning,,,,,,,
36,361.43,89.3,7.4,Night,,,,,,,
37,372.98,87.2,7.1,Morning,,,,,,,
38,333.72,87,7,Evening,,,,,,,
39,329.38,87.3,7.1,Morning,,,,,,,
40,364.05,86.6,6.9,Night,,,,,,,
41,315.7,90.4,7.4,Morning,,,,,,,
42,355.32,87.7,7.1,Evening,,,,,,,
43,372.22,90.2,7.4,Evening,,,,,,,
44,351.34,89.5,7.2,Evening,,,,,,,
45,360.13,88.8,7.4,Night,,,,,,,
46,368.2,84.2,6.9,Night,,,,,,,
47,344.15,88.8,7.3,Night,,,,,,,
48,343.11,89,7.2,Morning,,,,,,,
49,335.9,86.2,7,Morning,,,,,,,
50,350.89,86.7,6.9,Morning,,,,,,,
51,351.24,84.6,6.8,Morning,,,,,,,
52,350.08,89.4,7.3,Night,,,,,,,
53,338.64,86.9,7,Evening,,,,,,,
54,326.48,86.9,7.2,Evening,,,,,,,
55,337.21,91.3,7.5,Night,,,,,,,
56,352.26,91.6,7.5,Night,,,,,,,
