APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-F,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
1,335.46,91.5,7.5,Night,,,,,,
2,336.11,90.8,7.3,Morning,,,,,,
3,356.62,86.9,7.1,Night,,,,,,
4,346.05,87.9,7.2,Morning,,,,,,
5,365.24,86.6,7.1,Night,,,,,,
6,353.28,87.4,7.1,Morning,,,,,,
7,343.22,85.6,6.9,Morning,,,,,,
8,348.49,86.9,7,Night,,,,,,
9,343.17,91.3,7.3,Night,,,,,,
10,386.18,87,7.1,Morning,,,,,,
11,350.5,87,6.9,Morning,,,,,,
12,329.96,85.9,6.9,Evening,,,,,,
13,369.99,87.4,7,Night,,,,,,
14,338.61,88.3,7.1,Morning,,,,,,
15,357.68,86.9,7,Night,,,,,,
16,356.01,87.9,7.1,Morning,,,,,,
17,349.85,88.9,7.3,Night,,,,,,
18,351.89,88,7.2,Evening,,,,,,
19,338.79,84.8,6.7,Evening,,,,,,
20,331.66,86.6,7.2,Morning,,,,,,
21,347.14,86.8,7.1,Morning,,,,,,
22,349.05,86.8,7.2,Morning,,,,,,
23,327.9,87.6,7,Night,,,,,,
24,354.04,87,7,Night,,,,,,
25,365.06,87.2,7.2,Evening,,,,,,
26,359.3,87.1,7,Evening,,,,,,
27,351.99,86.6,7,Night,,,,,,
28,367.63,87.2,7.1,Evening,,,,,,
29,338.21,88.7,7.3,Morning,,,,,,
30,337.27,86.7,7,Evening,,,,,,
31,354.04,86.2,6.8,Night,,,,,,
32,349.39,86.6,7.2,Morning,,,,,,
33,364.17,90.3,7.3,Evening,,,,,,
34,367.73,87.8,7.1,Night,,,,,,
35,362.17,83.1,7,Morning,,,,,,
36,351.28,88,7,Morning,,,,,,
37,351.31,89.3,7.3,Morning,,,,,,
38,357.32,89.2,7.3,Morning,,,,,,
39,325.09,86.6,6.9,Morning,,,,,,
40,362.91,85.3,6.8,Evening,,,,,,
41,342.04,87.3,7.1,Evening,,,,,,
42,338.91,89.9,7.3,Night,,,,,,
43,349.45,88.7,7.3,Evening,,,,,,
44,348.28,86.6,7,Night,,,,,,
45,333.54,89.5,7.4,Morning,,,,,,
46,349.33,87.7,7.1,Night,,,,,,
47,335.02,86.4,7,Evening,,,,,,
48,311.96,87.9,7.3,Evening,,,,,,
49,345.57,85.6,6.9,Night,,,,,,
50,348.02,89.3,7.3,Evening,,,,,,
51,380.38,89.8,7.1,Evening,,,,,,
52,347.5,89.1,7.2,Evening,,,,,,
53,345.97,90.1,7.2,Morning,,,,,,
54,374.22,88.4,7.3,Night,,,,,,
55,352.36,91.4,7.5,Night,,,,,,
56,368.36,86.9,7,Night,,,,,,
57,331.09,88.5,7.2,Morning,,,,,,
58,341.04,85.3,6.9,Evening,,,,,,
59,325.04,85.7,6.9,Evening,,,,,,
60,346.41,86.9,7,Night,,,,,,
61,356.44,87.9,7.1,Evening,,,,,,
62,359.2,87.3,7.1,Morning,,,,,,
63,335.39,86.1,7.1,Evening,,,,,,
64,346.01,91,7.2,Morning,,,,,,
65,329.16,86.8,7.1,Morning,,,,,,
66,356.32,86.1,6.9,Night,,,,,,
67,354.26,88.9,7.2,Morning,,,,,,
68,372.33,88.7,7.2,Morning,,,,,,
69,345.21,86.5,7,Night,,,,,,
70,341.57,88.4,7.2,Evening,,,,,,
71,351.77,84.9,7,Night,,,,,,
72,358.67,86.8,7,Evening,,,,,,
73,378.93,84.9,7,Evening,,,,,,
74,354.15,88.6,7.2,Evening,,,,,,
75,334.59,83.9,6.9,Night,,,,,,
76,352.5,86.8,7.1,Evening,,,,,,
77,331.63,87,7,Night,,,,,,
78,374.52,88.5,7.1,Morning,,,,,,
79,330.63,88.7,7,Morning,,,,,,
80,345.18,92.7,7.5,Evening,,,,,,
81,334.01,86.9,7.1,Morning,,,,,,
82,365.34,84.5,6.9,Morning,,,,,,
83,340.46,89.5,7.3,Night,,,,,,
84,338.59,87.3,7.3,Morning,,,,,,
85,361.57,86.7,7,Night,,,,,,
86,346.07,85.2,6.9,Evening,,,,,,
87,344.07,87.9,7.3,Night,,,,,,
88,358.23,91,7.4,Evening,,,,,,
89,378.67,88.2,7.1,Night,,,,,,
90,375.85,88.7,7.3,Morning,,,,,,
91,333.57,87.8,7.2,Morning,,,,,,
92,357.26,84.3,6.7,Morning,,,,,,
93,335.88,90.5,7.4,Morning,,,,,,
94,356.04,88.5,7.1,Evening,,,,,,
95,357.57,89.4,7.3,Morning,,,,,,
96,348,90.2,7.4,Morning,,,,,,
97,357.21,84.2,6.7,Morning,,,,,,
98,367.06,87.4,7.2,Evening,,,,,,
99,327.58,87.5,7.1,Morning,,,,,,
100,339.54,89.5,7.2,Night,,,,,,
101,354.31,87.9,7.1,Night,,,,,,
102,360.27,91.6,7.4,Morning,,,,,,
103,344.17,86.3,6.8,Morning,,,,,,
104,349.02,84.8,6.9,Evening,,,,,,
105,362.1,88.8,7.2,Evening,,,,,,
106,374.47,86,7,Evening,,,,,,
107,354.62,88.7,7.1,Morning,,,,,,
108,353.67,88.4,7.1,Morning,,,,,,
109,356.92,89.3,7,Evening,,,,,,
110,348.12,87.4,7.2,Night,,,,,,
111,355.63,86.7,7.1,Morning,,,,,,
112,356.2,87.2,6.8,Evening,,,,,,
113,363.34,88.5,7.1,Morning,,,,,,
114,353.69,85.6,6.9,Evening,,,,,,
115,346.81,87.6,7.1,Night,,,,,,
116,357.68,85,7,Morning,,,,,,
117,333.25,89.9,7.2,Evening,,,,,,
118,350.49,92.6,7.5,Morning,,,,,,
119,318.49,87.4,7,Evening,,,,,,
120,327.8,86.1,7,Evening,,,,,,
121,356.37,93.3,7.7,Evening,,,,,,
122,319.23,86.4,6.9,Night,,,,,,
123,330.3,87.6,7.3,Night,,,,,,
124,374.98,87.4,7.3,Morning,,,,,,
125,344.82,89.1,7.3,Morning,,,,,,
126,334.53,90.6,7.4,Evening,,,,,,
127,348.12,89.3,7.4,Night,,,,,,
128,355.2,86.6,7.1,Evening,,,,,,
129,362.49,91,7.5,Morning,,,,,,
130,351.43,89.9,7.2,Night,,,,,,
131,335.5,88.5,7.4,Night,,,,,,
132,360.58,88.9,7,Night,,,,,,
133,330.4,86.4,6.9,Morning,,,,,,
