APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-G,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
1,340.72,88.5,7,Morning,,,,,,
2,339.01,87.9,7.3,Morning,,,,,,
3,341.21,88.9,7,Evening,,,,,,
4,339.13,84.6,6.8,Night,,,,,,
5,357.54,88.4,7,Night,,,,,,
6,351.69,86.1,6.9,Morning,,,,,,
7,352.66,87.5,6.9,Morning,,,,,,
8,344.47,92.1,7.5,Morning,,,,,,
9,349.92,88.4,7.2,Evening,,,,,,
10,354.11,90.2,7.4,Night,,,,,,
11,345.37,87.6,7,Evening,,,,,,
12,358.97,87.2,7,Evening,,,,,,
13,354.77,86.5,7,Night,,,,,,
14,335.05,89.1,7.2,Morning,,,,,,
15,314.09,85.5,7,Night,,,,,,
16,331.16,90.2,7.2,Morning,,,,,,
17,357.06,90.4,7.3,Morning,,,,,,
18,360.15,88.9,7.1,Morning,,,,,,
19,359.16,90.8,7.4,Evening,,,,,,
20,351.14,89.9,7.5,Morning,,,,,,
21,351.89,88.8,7.1,Night,,,,,,
22,367.78,84.4,6.9,Night,,,,,,
23,350.61,90,7.5,Evening,,,,,,
24,319.99,86.4,7,Evening,,,,,,
25,366.06,86.8,7.1,Morning,,,,,,
26,355.94,85.4,7,Morning,,,,,,
27,353.4,84,6.7,Night,,,,,,
28,363.21,87.8,7.1,Morning,,,,,,
29,349.65,88,7.1,Night,,,,,,
30,353.21,85.6,6.9,Evening,,,,,,
31,334.96,89.1,7.2,Night,,,,,,
32,340.65,86.9,7.2,Night,,,,,,
33,353.01,87.6,7.2,Evening,,,,,,
34,360.81,86.7,7.1,Evening,,,,,,
35,339.75,87.3,7,Morning,,,,,,
36,366.97,89.4,7.2,Night,,,,,,
37,345.54,89.6,7.3,Evening,,,,,,
38,334.79,89.6,7.2,Night,,,,,,
39,340.41,90.4,7.4,Night,,,,,,
40,337.98,90.4,7.3,Morning,,,,,,
41,361.32,88.5,7.3,Night,,,,,,
42,353.02,87.5,6.9,Evening,,,,,,
43,354.14,86.1,7.1,Evening,,,,,,
44,356.49,89.5,7.4,Morning,,,,,,
45,356.64,90.8,7.4,Night,,,,,,
46,335.29,87.5,7,Night,,,,,,
47,349.53,90,7.6,Morning,,,,,,
48,349.17,85.7,6.8,Evening,,,,,,
49,366.31,87.3,7,Evening,,,,,,
50,365.47,91.1,7.2,Evening,,,,,,
51,373.17,85.7,7,Morning,,,,,,
52,368.54,87.6,7,Night,,,,,,
53,346.83,88.4,7.2,Night,,,,,,
54,344.1,88.9,7.3,Morning,,,,,,
55,337.98,90.3,7.3,Morning,,,,,,
56,342.38,90.7,7.4,Morning,,,,,,
57,352.34,90.4,7.5,Night,,,,,,
58,354.16,88.9,7.2,Evening,,,,,,
59,343.16,89,7.1,Night,,,,,,
60,322.62,85.5,6.9,Night,,,,,,
61,349.45,91,7.4,Night,,,,,,
62,355.81,89.8,7.4,Morning,,,,,,
63,358.31,90.1,7.3,Morning,,,,,,
64,341.28,88.2,7.3,Evening,,,,,,
