APPENDIX 1,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,
MONTH: APRIL 2023,,,,,,,,
,,,,,,,,
,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-I,,,,,,,,
Tablet Characteristics,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,
1,382.17,91.6,7.3,Night,,,,
2,351.97,87.8,7.1,Morning,,,,
3,359.92,86.4,7.1,Night,,,,
4,342.21,88.1,6.9,Morning,,,,
5,321.53,88.6,7.2,Evening,,,,
6,315.88,85.6,6.8,Morning,,,,
7,315.4,84.7,6.9,Evening,,,,
8,340.22,86.1,6.8,Evening,,,,
9,346.62,91.4,7.2,Evening,,,,
10,359.11,89.4,7,Evening,,,,
11,348.24,85.4,7.1,Morning,,,,
12,342.34,88.1,7.3,Morning,,,,
13,335.14,89.7,7.1,Night,,,,
14,347.4,87.9,6.9,Morning,,,,
15,347.81,87.1,7.1,Night,,,,
16,366.1,87.3,7,Night,,,,
17,338.95,85.6,6.8,Morning,,,,
18,358.4,89.2,7.2,Morning,,,,
19,343.77,91.7,7.1,Evening,,,,
20,349.22,87.6,7,Morning,,,,
21,335.98,91.1,7.3,Evening,,,,
22,371.67,86,7,Morning,,,,
23,348.87,88,7.1,Evening,,,,
24,361.69,86.4,7,Morning,,,,
25,345.89,85.4,6.9,Evening,,,,
26,343.95,85,6.7,Evening,,,,
27,347.01,87.8,7,Morning,,,,
28,342.17,92.3,7.6,Evening,,,,
29,356.22,88,7,Morning,,,,
30,358.61,87.6,7.1,Evening,,,,
31,352,85.8,6.8,Morning,,,,
32,353.05,88.3,7.1,Night,,,,
33,372.62,85.3,6.8,Night,,,,
34,353.31,89.9,7.2,Evening,,,,
35,359.59,89,7.2,Night,,,,
36,365.59,89.9,7.2,Evening,,,,
37,339.64,92.8,7.4,Morning,,,,
38,339.48,86.7,7.1,Morning,,,,
39,345.5,88,7.2,Night,,,,
40,353.27,89.2,7.3,Morning,,,,
41,342.88,90.5,7.3,Evening,,,,
42,350.05,87.7,7,Evening,,,,
43,325.97,88.1,6.9,Evening,,,,
44,371.48,86.1,7,Morning,,,,
45,332.56,87.5,7.1,Night,,,,
46,342.6,88.5,7.2,Evening,,,,
47,340.58,90,7.3,Evening,,,,
48,330.98,89.5,7.2,Evening,,,,
49,355.01,88.3,7.2,Evening,,,,
50,367.89,92,7.5,Morning,,,,
51,343.21,88.5,7.1,Morning,,,,
52,334.59,87.6,7.2,Night,,,,
53,365.1,86.8,7.1,Evening,,,,
54,359.17,85.7,7,Evening,,,,
55,329.82,91.6,7.4,Morning,,,,
56,341.59,91.9,7.4,Morning,,,,
57,355.58,83.5,6.8,Night,,,,
58,352.23,85.1,6.9,Morning,,,,
59,341.52,90.7,7.3,Evening,,,,
60,380.81,88.1,6.9,Evening,,,,
61,374.2,91.8,7.5,Morning,,,,
62,352.34,85.5,6.7,Morning,,,,
63,351.73,84.7,6.8,Morning,,,,
64,360.19,88,7.1,Morning,,,,
65,364.65,89.3,7,Night,,,,
66,350.38,89,7.3,Evening,,,,
67,345.98,87.5,6.9,Evening,,,,
68,313,88.2,7.1,Night,,,,
69,356.25,88.9,7.1,Evening,,,,
70,331.85,89.1,7.2,Night,,,,
71,372.96,86.5,7.1,Evening,,,,
72,341.13,92.6,7.5,Morning,,,,
73,379.33,86.3,7.1,Evening,,,,
74,355.9,85.7,6.9,Evening,,,,
75,343.18,89,7,Night,,,,
76,364.46,90,7.2,Night,,,,
77,354.57,90.1,7.4,Evening,,,,
78,348.95,91.5,7.4,Night,,,,
79,344.89,91.2,7.4,Evening,,,,
80,349.79,87.8,7.2,Morning,,,,
81,363.97,89.4,7.2,Evening,,,,
82,347.04,89.8,7.2,Night,,,,
83,374.71,86.8,6.9,Morning,,,,
84,325.98,87.9,7,Night,,,,
85,361.31,87.3,7,Evening,,,,
86,331.82,87.3,7.1,Night,,,,
87,333.77,85.1,6.9,Night,,,,
88,347.13,87.5,7.2,Night,,,,
89,358.48,85.5,6.8,Evening,,,,
90,335.18,88.2,7.1,Night,,,,
91,337.54,88.1,7.2,Evening,,,,
92,330.07,89.8,7.3,Morning,,,,
