APPENDIX 1,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,
MONTH: APRIL 2023,,,,,,,,
,,,,,,,,
,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-J,,,,,,,,
Tablet Characteristics,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,
1,345.4,84.6,6.9,Evening,,,,
2,346.53,88,7.2,Morning,,,,
3,351.94,84.3,7,Morning,,,,
4,349.56,84.1,6.7,Evening,,,,
5,343.81,87.1,6.9,Morning,,,,
6,355.59,87.5,7.1,Night,,,,
7,353.91,86,6.8,Morning,,,,
8,378.92,88.6,7.2,Night,,,,
9,372.05,87,7,Evening,,,,
10,328.53,86.1,6.9,Evening,,,,
11,374.5,86.4,7,Morning,,,,
12,374.47,86.3,7,Morning,,,,
13,331.96,86.9,7.2,Evening,,,,
14,343.77,91.3,7.4,Evening,,,,
15,339.75,89.4,7.3,Evening,,,,
16,350.73,93.1,7.5,Night,,,,
17,345.06,86.5,6.9,Night,,,,
18,359.56,86.7,7.1,Morning,,,,
19,368.25,90.4,7.2,Evening,,,,
20,349.33,88.9,7.3,Evening,,,,
21,353.29,89,7.2,Night,,,,
22,369.2,90.6,7.4,Morning,,,,
23,358.96,89.3,7.2,Night,,,,
24,358.96,86.3,6.8,Morning,,,,
25,357.24,92.7,7.5,Night,,,,
26,345.62,85.7,6.8,Morning,,,,
27,352.8,89.3,7.2,Morning,,,,
28,373.11,88.7,7.1,Evening,,,,
29,347.69,86.2,6.9,Morning,,,,
30,350.12,93.1,7.6,Night,,,,
31,362.43,88.5,7.3,Evening,,,,
32,337.81,84.3,6.9,Morning,,,,
33,332.55,89,7.3,Morning,,,,
34,343.88,87.8,7,Morning,,,,
35,362.32,93.1,7.5,Night,,,,
36,353.69,89.6,7.1,Night,,,,
37,341.65,87.9,7.1,Morning,,,,
38,359.8,88.7,7.2,Night,,,,
39,345.33,88.1,7.1,Night,,,,
40,341.64,87.5,7.2,Night,,,,
41,336.28,90,7.2,Night,,,,
42,366.48,87,6.9,Evening,,,,
43,334.85,86.3,6.9,Night,,,,
44,355.05,92.1,7.5,Morning,,,,
45,345.59,85.9,6.9,Morning,,,,
46,340.52,87.1,6.9,Morning,,,,
47,358.93,88.7,7.3,Evening,,,,
48,341.61,83.7,6.8,Night,,,,
49,363.74,89,7.4,Morning,,,,
50,353.76,89.4,7.2,Evening,,,,
51,376.15,86.1,6.9,Evening,,,,
52,352.9,88.1,7.1,Night,,,,
53,346.98,87.4,6.8,Evening,,,,
54,361.53,86.7,6.9,Evening,,,,
55,358.8,87.3,7,Night,,,,
56,341.29,87.5,7.1,Evening,,,,
57,370.95,88.6,7.2,Evening,,,,
58,350.72,86.1,6.9,Evening,,,,
59,332.41,89.9,7.3,Evening,,,,
60,359.32,89.2,7.1,Evening,,,,
61,361.71,85.8,6.8,Morning,,,,
62,325.71,85.2,6.8,Evening,,,,
63,361.27,84.5,6.8,Night,,,,
64,357.55,87.2,7,Evening,,,,
65,360.57,89.9,7.2,Morning,,,,
66,339.17,91.4,7.4,Night,,,,
67,371.35,86.7,7,Night,,,,
68,366.35,86.6,7,Night,,,,
69,365.47,90.8,7.6,Evening,,,,
70,364.14,89.1,7.2,Morning,,,,
71,346.26,86.9,6.9,Morning,,,,
72,367.34,87.8,6.9,Morning,,,,
73,331.8,86.1,6.9,Night,,,,
74,357.8,86,7,Morning,,,,
75,329.63,86.6,7.2,Morning,,,,
76,349.26,84.4,6.7,Night,,,,
77,341.23,85.6,6.9,Evening,,,,
78,340.97,88.1,7,Morning,,,,
79,336.56,88.4,7.2,Evening,,,,
80,353.81,89.4,7.3,Morning,,,,
81,346.09,85.9,6.8,Morning,,,,
82,367.04,92.7,7.3,Night,,,,
83,347.31,86.3,6.9,Morning,,,,
84,374.57,86.6,7.2,Evening,,,,
85,349.78,95.2,7.7,Morning,,,,
86,332.58,89,7.1,Night,,,,
87,357.76,86.4,7,Night,,,,
88,369.13,87.8,7.1,Morning,,,,
89,356.75,88.7,7.1,Night,,,,
90,348.97,88.4,7.2,Night,,,,
91,356.92,86.3,6.8,Morning,,,,
92,340.18,87.2,7.1,Evening,,,,
93,329.26,90.7,7.4,Night,,,,
94,348.83,88.5,7.2,Morning,,,,
95,368.37,87.5,7,Morning,,,,
96,329.06,89.6,7.2,Night,,,,
97,332.4,86.9,7.1,Night,,,,
98,369.88,90.8,7.4,Evening,,,,
99,336.67,88.1,7.1,Evening,,,,
100,368.26,90.1,7.3,Morning,,,,
101,368.65,89.1,7,Night,,,,
102,372.6,90.3,7.3,Morning,,,,
103,338.21,90.6,7.3,Morning,,,,
104,362.6,89.9,7.3,Night,,,,
105,334.6,89.2,7.1,Morning,,,,
106,355.39,86.4,6.9,Morning,,,,
107,334.07,90.5,7.2,Evening,,,,
108,342.09,90.2,7.2,Morning,,,,
109,349.37,89.7,7.1,Night,,,,
110,335.44,88.4,7.1,Evening,,,,
111,354.63,88.4,7.2,Evening,,,,
112,333.88,85.4,6.8,Evening,,,,
113,340.99,86.9,7,Morning,,,,
114,373.55,85.7,6.9,Morning,,,,
115,324.02,89,7.3,Night,,,,
116,354.33,87,7.1,Evening,,,,
117,361.79,90.5,7.4,Morning,,,,
118,339.59,88.1,7.2,Evening,,,,
119,342.12,84,6.7,Night,,,,
120,358.63,90.7,7.3,Morning,,,,
121,343.43,86,7.1,Night,,,,
122,381.86,87.6,7.1,Evening,,,,
123,361.69,85.3,6.8,Morning,,,,
124,370.95,86.8,6.8,Night,,,,
125,361.91,87.4,7,Evening,,,,
126,347.53,87.6,7.2,Morning,,,,
127,353.43,88.2,7.3,Night,,,,
128,338.87,89.8,7.2,Evening,,,,
129,349.76,86.9,7.1,Night,,,,
130,349.26,88.4,7.3,Morning,,,,
131,334.84,90.2,7.3,Evening,,,,
132,342.28,88.8,7.2,Morning,,,,
133,368.82,90.7,7.3,Morning,,,,
134,349.67,90.5,7.2,Evening,,,,
135,353.33,85.5,6.8,Evening,,,,
136,344.01,89,7,Morning,,,,
137,354.41,89.6,7.2,Evening,,,,
138,352.98,87.4,7,Night,,,,
139,351.31,86,7,Night,,,,
140,353.63,84.9,6.7,Night,,,,
141,335.65,87,7.1,Evening,,,,
142,336.5,90.6,7.5,Evening,,,,
143,339.89,88.8,7.2,Night,,,,
144,341.78,91.8,7.6,Night,,,,
145,358.06,86.1,7,Evening,,,,
146,332.23,86.4,6.9,Night,,,,
147,342.57,89.4,7.2,Night,,,,
148,367.5,87.2,7,Evening,,,,
149,357.17,87.3,7.2,Morning,,,,
150,337.22,87,7,Evening,,,,
151,351.59,90.1,7.2,Morning,,,,
152,331.45,87.3,7.1,Evening,,,,
153,352.94,85.7,6.9,Morning,,,,
154,331.34,87.8,7.1,Night,,,,
155,367.67,90.1,7.3,Evening,,,,
156,329.1,86.6,7,Morning,,,,
157,362.97,89.8,7.3,Night,,,,
158,360.44,86.6,7.1,Morning,,,,
159,359.12,89.3,7.2,Morning,,,,
160,359.74,90.1,7,Evening,,,,
161,345.81,87.1,6.9,Night,,,,
162,348.17,84.7,6.7,Evening,,,,
163,364.67,86.5,7,Night,,,,
164,364.82,88.7,6.9,Morning,,,,
165,352.16,86,7,Evening,,,,
166,339.54,91.5,7.5,Morning,,,,
167,358.31,84.6,7,Night,,,,
168,344.61,88.8,7.2,Morning,,,,
169,346.36,89.1,7.1,Morning,,,,
170,351.67,89.4,7.3,Evening,,,,
171,343.77,85.8,7,Morning,,,,
172,373.57,83.6,6.7,Morning,,,,
173,337.2,86.2,6.9,Night,,,,
174,333.51,89.7,7.3,Evening,,,,
175,383.8,90,7.4,Morning,,,,
176,353.4,91.6,7.3,Night,,,,
177,366.36,88,7.2,Night,,,,
178,352.31,87.5,7.2,Evening,,,,
179,375.14,85.4,6.8,Morning,,,,
180,353.81,87.4,7.1,Evening,,,,
181,368.44,86.9,7.1,Night,,,,
182,361.34,87.8,7,Night,,,,
183,388.67,89.4,7.4,Morning,,,,
184,339.88,89.7,7.4,Morning,,,,
185,361.33,91,7.2,Morning,,,,
186,356.55,86.6,7.1,Evening,,,,
187,326.92,88.2,7,Morning,,,,
188,349.17,88.5,7.2,Morning,,,,
189,356.73,88.1,7.2,Morning,,,,
190,355.1,87.3,6.8,Night,,,,
191,351.53,87,6.9,Morning,,,,
192,357.25,92,7.3,Morning,,,,
193,327.72,89,7.2,Night,,,,
194,363.97,89.3,7.1,Night,,,,
195,343.97,88.7,7.1,Morning,,,,
196,343.83,89.7,7.3,Night,,,,
197,349.2,88.3,7.2,Night,,,,
198,367.66,90.6,7.4,Evening,,,,
199,358.31,89.1,7.1,Night,,,,
200,341.53,89.9,7.2,Evening,,,,
201,374.5,86.4,7,Morning,,,,
202,374.47,86.3,7,Morning,,,,
203,331.96,86.9,7.2,Evening,,,,
204,343.77,91.3,7.4,Evening,,,,
205,339.75,89.4,7.3,Evening,,,,
206,350.73,93.1,7.5,Night,,,,
207,345.06,86.5,6.9,Night,,,,
208,359.56,86.7,7.1,Morning,,,,
209,368.25,90.4,7.2,Evening,,,,
210,349.33,88.9,7.3,Evening,,,,
211,376.15,86.1,6.9,Evening,,,,
212,352.9,88.1,7.1,Night,,,,
213,346.98,87.4,6.8,Evening,,,,
214,361.53,86.7,6.9,Evening,,,,
215,358.8,87.3,7,Night,,,,
216,341.29,87.5,7.1,Evening,,,,
217,370.95,88.6,7.2,Evening,,,,
218,350.72,86.1,6.9,Evening,,,,
219,332.41,89.9,7.3,Evening,,,,
220,359.32,89.2,7.1,Evening,,,,
221,346.26,86.9,6.9,Morning,,,,
222,367.34,87.8,6.9,Morning,,,,
223,331.8,86.1,6.9,Night,,,,
224,357.8,86,7,Morning,,,,
225,329.63,86.6,7.2,Morning,,,,
226,349.26,84.4,6.7,Night,,,,
227,341.23,85.6,6.9,Evening,,,,
228,340.97,88.1,7,Morning,,,,
229,336.56,88.4,7.2,Evening,,,,
230,353.81,89.4,7.3,Morning,,,,
231,368.65,89.1,7,Night,,,,
232,372.6,90.3,7.3,Morning,,,,
233,338.21,90.6,7.3,Morning,,,,
234,362.6,89.9,7.3,Night,,,,
235,334.6,89.2,7.1,Morning,,,,
236,355.39,86.4,6.9,Morning,,,,
237,334.07,90.5,7.2,Evening,,,,
238,342.09,90.2,7.2,Morning,,,,
239,349.37,89.7,7.1,Night,,,,
240,335.44,88.4,7.1,Evening,,,,
241,334.84,90.2,7.3,Evening,,,,
242,342.28,88.8,7.2,Morning,,,,
243,368.82,90.7,7.3,Morning,,,,
244,349.67,90.5,7.2,Evening,,,,
245,353.33,85.5,6.8,Evening,,,,
246,344.01,89,7,Morning,,,,
247,354.41,89.6,7.2,Evening,,,,
248,352.98,87.4,7,Night,,,,
249,351.31,86,7,Night,,,,
250,353.63,84.9,6.7,Night,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
