APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-K,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
1,341.99,88.3,7.1,Evening,,,,,,
2,340.17,85.6,7,Evening,,,,,,
3,341.63,87,7,Morning,,,,,,
4,336.3,88.3,7,Night,,,,,,
5,350.91,82.1,6.8,Evening,,,,,,
6,311.72,90.3,7.4,Morning,,,,,,
7,352.72,88.4,7.3,Night,,,,,,
8,352.47,87.1,6.9,Evening,,,,,,
9,345.02,83.8,6.8,Night,,,,,,
10,356.72,86.8,7.2,Night,,,,,,
11,361.28,88.3,6.9,Morning,,,,,,
12,350.88,89.4,7.1,Evening,,,,,,
13,335.87,82.8,6.5,Morning,,,,,,
14,339.3,87.4,7,Morning,,,,,,
15,322.72,87.8,7.2,Evening,,,,,,
16,343.59,85.3,6.8,Evening,,,,,,
17,349.34,87.9,7,Night,,,,,,
18,335.42,91.2,7.2,Evening,,,,,,
19,341.59,89.9,7.5,Night,,,,,,
20,342.19,88.5,7.1,Morning,,,,,,
21,365.76,87.5,7,Morning,,,,,,
22,364.89,84.4,6.8,Night,,,,,,
23,346.87,88.8,7.1,Morning,,,,,,
24,339,85.7,7,Evening,,,,,,
25,346.37,92.6,7.4,Morning,,,,,,
26,348.4,89.1,7.3,Night,,,,,,
27,357.16,84.4,6.9,Morning,,,,,,
28,351.29,84,6.8,Night,,,,,,
29,339.62,84.7,6.7,Night,,,,,,
30,359.69,92.2,7.5,Evening,,,,,,
31,353.18,86.8,7,Morning,,,,,,
32,351.65,90,7.2,Evening,,,,,,
33,357.28,85.8,6.8,Morning,,,,,,
34,335.62,89.2,7.2,Night,,,,,,
35,316.56,89.2,7.2,Evening,,,,,,
36,340.63,87.2,7.3,Evening,,,,,,
37,361.53,86.8,7,Night,,,,,,
38,325.6,87.8,7.3,Morning,,,,,,
39,343.1,88.8,7.4,Morning,,,,,,
40,341.88,88.3,7,Evening,,,,,,
41,326.77,87.8,7.2,Night,,,,,,
42,362.51,87.5,6.9,Morning,,,,,,
43,357.16,85.5,7,Morning,,,,,,
44,355.89,87,7.1,Evening,,,,,,
45,350.1,87.7,6.9,Morning,,,,,,
46,358.97,84.6,6.6,Morning,,,,,,
47,313.7,86.1,6.8,Night,,,,,,
48,372.39,85.8,7.1,Night,,,,,,
49,374.42,84.9,6.5,Night,,,,,,
50,356.7,85.8,6.9,Morning,,,,,,
51,345.66,90.9,7.3,Night,,,,,,
52,330.99,87.4,6.9,Evening,,,,,,
53,349.72,84.7,7.1,Morning,,,,,,
54,362.02,86.3,6.9,Evening,,,,,,
55,352.88,86.9,6.9,Morning,,,,,,
56,371.94,90.3,7.3,Night,,,,,,
57,332.71,88.4,7.1,Morning,,,,,,
58,368.91,92.9,7.6,Evening,,,,,,
59,333.63,89.1,7.2,Morning,,,,,,
60,343.42,85.8,6.8,Evening,,,,,,
61,348.4,90.8,7.5,Night,,,,,,
62,356.94,89.4,7.2,Evening,,,,,,
63,345.14,87.6,7,Evening,,,,,,
64,347.18,85,6.9,Evening,,,,,,
65,341.37,87,7.1,Evening,,,,,,
66,354.5,86.7,6.9,Night,,,,,,
67,354.5,88.3,7.1,Morning,,,,,,
68,371.39,86,6.9,Evening,,,,,,
69,317.57,88.6,7.2,Evening,,,,,,
70,332.2,86.4,6.9,Night,,,,,,
71,372.72,90.5,7.2,Night,,,,,,
72,355.85,86.5,7,Morning,,,,,,
73,349.19,90.5,7.2,Morning,,,,,,
74,348.95,87.5,7.2,Morning,,,,,,
75,362.25,92.2,7.4,Night,,,,,,
76,366.71,91.9,7.4,Evening,,,,,,
77,308.35,89.8,7.2,Evening,,,,,,
78,351.55,91.6,7.4,Morning,,,,,,
79,371.57,90.4,7.4,Night,,,,,,
80,341.56,87.5,6.9,Night,,,,,,
81,342.47,89.4,7.4,Night,,,,,,
82,354.34,89.5,7.2,Evening,,,,,,
83,378.41,87.1,6.9,Night,,,,,,
84,352.49,88.4,7.1,Evening,,,,,,
85,331.42,90.9,7.2,Evening,,,,,,
86,358.99,86.6,7.1,Night,,,,,,
87,361.97,84.9,6.8,Evening,,,,,,
88,340.57,87.6,7,Morning,,,,,,
89,351.38,87.5,7.1,Morning,,,,,,
90,357.51,89.3,7.1,Night,,,,,,
91,349.38,88.9,7.3,Night,,,,,,
92,359.64,87.9,7.1,Night,,,,,,
93,357,86.2,6.8,Morning,,,,,,
94,339.19,87.3,6.8,Evening,,,,,,
95,341.84,89.3,7.1,Evening,,,,,,
96,351.25,90,7.4,Evening,,,,,,
97,332.95,87.8,7.1,Morning,,,,,,
98,347.62,89.2,7.1,Evening,,,,,,
99,357.48,85.1,6.9,Night,,,,,,
100,339.09,85.2,6.8,Night,,,,,,
101,356.44,88.8,7.1,Morning,,,,,,
102,369.44,85.3,6.9,Night,,,,,,
103,346.07,87.3,7,Night,,,,,,
104,341.54,89.8,7.2,Morning,,,,,,
105,350.46,88,7.1,Morning,,,,,,
106,360.11,87.7,6.9,Morning,,,,,,
107,349.18,84.8,6.9,Morning,,,,,,
108,345.03,91.9,7.1,Night,,,,,,
109,355.87,84.7,6.8,Evening,,,,,,
110,351.68,89.6,7.2,Morning,,,,,,
111,350.25,85.2,6.8,Morning,,,,,,
112,348.57,87.2,6.9,Morning,,,,,,
113,361.68,86.6,7.1,Morning,,,,,,
114,327.59,86.8,7.1,Evening,,,,,,
115,327.6,88.9,7.1,Morning,,,,,,
116,355.72,90.9,7.2,Night,,,,,,
