APPENDIX 1,,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-O,,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,,
1,345.02,89.6,7.2,Night,,,,,,,
2,350.38,86.7,7.2,Evening,,,,,,,
3,355.18,89.7,7.1,Night,,,,,,,
4,360.03,91,7.3,Evening,,,,,,,
5,353.44,85.8,6.9,Evening,,,,,,,
6,381.31,85.7,6.8,Night,,,,,,,
7,371.38,86.5,6.9,Morning,,,,,,,
8,386.1,86.4,7,Morning,,,,,,,
9,376.19,89.1,7.1,Evening,,,,,,,
10,325.05,88.7,7.1,Morning,,,,,,,
11,345.53,85.7,6.9,Evening,,,,,,,
12,364.22,87.6,7,Morning,,,,,,,
13,333.32,88.7,7.2,Night,,,,,,,
14,370.59,90.1,7.2,Evening,,,,,,,
15,346.84,86.8,7,Evening,,,,,,,
16,351.31,89.6,7.2,Evening,,,,,,,
17,360.33,90.8,7.3,Night,,,,,,,
18,343.49,89.4,7.2,Morning,,,,,,,
19,371.9,86.2,6.9,Evening,,,,,,,
20,359.49,87.4,7,Night,,,,,,,
21,353.58,87.6,7.2,Morning,,,,,,,
22,344.78,87.5,6.9,Night,,,,,,,
23,363.3,86.9,7.1,Evening,,,,,,,
24,337.82,90.8,7.3,Evening,,,,,,,
25,350.4,89.7,7.2,Morning,,,,,,,
26,349.49,88.4,7.3,Morning,,,,,,,
27,326.38,85.9,6.8,Evening,,,,,,,
28,342.55,87.1,7.1,Night,,,,,,,
29,326.41,87.5,7,Morning,,,,,,,
30,363.01,87.6,7.1,Night,,,,,,,
31,351.14,89.9,7.2,Morning,,,,,,,
32,357,87.3,7,Evening,,,,,,,
33,338.38,89.7,7.1,Morning,,,,,,,
34,367.37,89.7,7.1,Morning,,,,,,,
35,360.11,84.8,7,Night,,,,,,,
36,340.22,91.2,7.5,Evening,,,,,,,
37,368.37,87.7,7.1,Evening,,,,,,,
38,359.31,91.1,7.3,Morning,,,,,,,
39,375.77,88,7.2,Evening,,,,,,,
40,338.78,88.7,7.1,Morning,,,,,,,
41,344.59,86.6,7,Evening,,,,,,,
42,336.06,88,7.2,Evening,,,,,,,
43,359.77,88,7,Evening,,,,,,,
44,338.97,93.4,7.5,Evening,,,,,,,
45,339.86,87.9,7,Night,,,,,,,
46,349.67,85.3,7,Morning,,,,,,,
